uid,month,date,shipment_id,fc,kind,pos,name,qty,skus,sku,brand,resolve_conf,resolve_how
S00001,2020-09,2020-09-01,FBA15D52DVJR,,,1,WERHE ® Profi SDS HEX Schaufelmeißel 135 x 410 mm Sechskant-Aufnahme 30 mm für Abbruchhammer Meissel Kunststoffkoffer,5,,3S135x410h30,WERHE,0.5,alias
S00002,2020-09,2020-09-01,FBA15D53M179,,,1,WERHE Profi SDS Hex Meißel Set 3 Stück 30 35 50 x 410 mm Kaltspattspitzspitze Flachdüse für Abbruchhammer,40,,3Zest410h30n3,WERHE,0.8,alias
S00002,2020-09,2020-09-01,FBA15D53M179,,,2,WERHE ® Profi SDS Hex Spitz Meißel 50 x 410 mm Set 2 Stück Kaltspattspitzspitze Flachdüse für Abbruchhammer,24,,3DBS50x410h30,WERHE,0.5,alias
S00002,2020-09,2020-09-01,FBA15D53M179,,,3,WERHE ® Profi SDS Hex Spitz Meißel 35 x 410 mm Set 2 Stück Kaltspattspitzspitze Flachdüse für Abbruchhammer,24,,3DBS35x410h30,WERHE,0.5,alias
S00002,2020-09,2020-09-01,FBA15D53M179,,,4,WERHE ® Profi SDS HEX Spatmeißel 75 x 410 mm Sechskant-Aufnahme 30 mm für Abbruchhammer Flach Spat Meißel Meissel,70,,3DB75x410h30,WERHE,0.8,alias
S00003,2020-09,2020-09-02,FBA15D55ZX5P,,,1,"WERKON Diamantscheibe 125 mm Feinsteinzeug Fliesen Granit Diamant-Trennscheibe 1,2mm",25,,9X125,WERKON,0.5,alias
S00003,2020-09,2020-09-02,FBA15D55ZX5P,,,2,"WERHE ® Profi Diamantscheibe 125 mm Feinsteinzeug Fliesen Granit Diamant-Trennscheibe 1,2mm",25,,9X125,WERHE,0.5,alias
S00003,2020-09,2020-09-02,FBA15D55ZX5P,,,3,"WERHE ® Profi – 5 x Holz & Äste Säbelsägeblätter – C 240mm S1531L Extra Lang – Hochwertiges HCS Stahl – Schnelles Schneiden dicker Schichten – Kompatibel mit Bosch, Makita Fuchsschwanz",63,,7NS1531L,WERHE,0.85,alias
S00004,2020-09,2020-09-03,FBA15D57PD81,,,1,WERHE ® Profi SDS Max Meißel Spitz Set 3 Stück 18 25 50 x 400 mm Kaltspattspitzspitze Flachdüse für Abbruchhammer,14,,3DB50x400m,WERHE,0.95,alias
S00005,2020-09,2020-09-03,FBA15D58KPW6,,,1,WERKON SDS Max Betonbohrer 25 x 600 mm Hammerbohrer Steinbohrer Beton Bohrer,40,,2WB25x600m,WERKON,0.95,alias
S00005,2020-09,2020-09-03,FBA15D58KPW6,,,2,WERHE ® Bohrverlängerung 750 mm SDS Max auf SDS Max Schaft zu Adapter Aufnahme,30,,5PR750m-m,WERHE,0.8,alias
S00005,2020-09,2020-09-03,FBA15D58KPW6,,,3,WERHE ® Bohrverlängerung 1000 mm SDS Max auf SDS Max Schaft zu Adapter Aufnahme,30,,5PR1000m-m,WERHE,0.8,alias
S00005,2020-09,2020-09-03,FBA15D58KPW6,,,4,WERKON Profi SDS Plus Betonbohrer 40 x 600 mm Hammerbohrer Steinbohrer Beton Bohrer Quadro X Vierfachschneide,40,,2WB40x600p,WERKON,0.95,alias
S00005,2020-09,2020-09-03,FBA15D58KPW6,,,5,WERHE ® Profi SDS PLUS Betonbohrer 40 x 600 mm Hammerbohrer Steinbohrer Beton Bohrer,40,,2WB40x600p,WERHE,0.95,alias
S00005,2020-09,2020-09-03,FBA15D58KPW6,,,6,WERHE SDS Max Betonbohrer 25 x 600 mm Hammerbohrer Steinbohrer Beton Bohrer,40,,2WB25x600m,WERHE,0.95,alias
S00006,2020-09,2020-09-03,FBA15D58YH34,,,1,WERHE ® Profi SDS HEX Spatmeißel 75 x 410 mm Sechskant-Aufnahme 30 mm für Abbruchhammer Flach Spat Meißel Meissel,10,,3DB75x410h30,WERHE,0.8,alias
S00007,2020-09,2020-09-03,FBA15D58ZBDM,,,1,WERHE ® Profi SDS HEX Spatmeißel 75 x 410 mm Sechskant-Aufnahme 30 mm für Abbruchhammer Flach Spat Meißel Meissel,10,,3DB75x410h30,WERHE,0.8,alias
S00008,2020-09,2020-09-03,FBA15D590K0F,,,1,WERHE ® Profi SDS HEX Schaufelmeißel 135 x 410 mm Sechskant-Aufnahme 30 mm für Abbruchhammer Meissel Kunststoffkoffer,4,,3S135x410h30,WERHE,0.5,alias
