uid,source_file,created_at,month,shipment_id,reference_id,fc,kind,n_lines,units,notes
S00001,2020-09.docx,2020-09-01T12:30:00,2020-09,FBA15D52DVJR,,,,1,5,
S00002,2020-09.docx,2020-09-01T16:31:00,2020-09,FBA15D53M179,,,,4,158,
S00003,2020-09.docx,2020-09-02T13:12:00,2020-09,FBA15D55ZX5P,,,,3,113,
S00004,2020-09.docx,2020-09-03T10:50:00,2020-09,FBA15D57PD81,,,,1,14,
S00005,2020-09.docx,2020-09-03T14:33:00,2020-09,FBA15D58KPW6,,,,6,220,
S00006,2020-09.docx,2020-09-03T19:25:00,2020-09,FBA15D58YH34,,,,1,10,
S00007,2020-09.docx,2020-09-03T19:29:00,2020-09,FBA15D58ZBDM,,,,1,10,
S00008,2020-09.docx,2020-09-03T20:28:00,2020-09,FBA15D590K0F,,,,1,4,
S00009,2020-09.docx,2020-09-03T20:34:00,2020-09,FBA15D592HVW,,,,1,4,
S00010,2020-09.docx,2020-09-04T13:29:00,2020-09,FBA15D5BMZPM,,,,1,70,
S00011,2020-09.docx,2020-09-04T14:28:00,2020-09,FBA15D5BS8G3,,,,1,70,
S00012,2020-09.docx,2020-09-04T14:53:00,2020-09,FBA15D5BSF3M,,,,1,70,
S00013,2020-09.docx,2020-09-04T15:06:00,2020-09,FBA15D5BVKSQ,,,,1,155,
S00014,2020-09.docx,2020-09-04T15:20:00,2020-09,FBA15D5BT57D,,,,1,155,
S00015,2020-09.docx,2020-09-07T13:49:00,2020-09,FBA15D5G2XWL,,,,1,76,
S00016,2020-09.docx,2020-09-07T14:00:00,2020-09,FBA15D5GBRWH,,,,1,3,
S00017,2020-09.docx,2020-09-08T11:57:00,2020-09,FBA15D5JFBFW,,,,1,37,
S00018,2020-09.docx,2020-09-08T12:02:00,2020-09,FBA15D5JHN35,,,,1,2,
S00019,2020-09.docx,2020-09-09T09:41:00,2020-09,FBA15D5L8BRZ,,,,2,58,
S00020,2020-09.docx,2020-09-09T12:11:00,2020-09,FBA15D5M219L,,,,2,34,
S00021,2020-09.docx,2020-09-09T13:02:00,2020-09,FBA15D5LY7HB,,,,1,24,
S00022,2020-09.docx,2020-09-09T13:26:00,2020-09,FBA15D5LY6M7,,,,1,19,
S00023,2020-09.docx,2020-09-09T15:43:00,2020-09,FBA15D5MK78L,,,,1,2,
S00024,2020-09.docx,2020-09-14T11:33:00,2020-09,FBA15D5X0RXN,,,,2,4,
S00025,2020-09.docx,2020-09-14T11:52:00,2020-09,FBA15D5WXQG8,,,,1,4,
S00026,2020-09.docx,2020-09-14T12:39:00,2020-09,FBA15D5XBFXN,,,,1,2,
S00027,2020-09.docx,2020-09-14T12:55:00,2020-09,FBA15D5X8JWZ,,,,1,4,
S00028,2020-09.docx,2020-09-14T13:00:00,2020-09,FBA15D5X8HZL,,,,1,2,
S00029,2020-09.docx,2020-09-14T13:27:00,2020-09,FBA15D5XC3Q5,,,,1,4,
S00030,2020-09.docx,2020-09-14T13:31:00,2020-09,FBA15D5XGBRG,,,,1,4,
S00031,2020-09.docx,2020-09-14T13:43:00,2020-09,FBA15D5XGF3C,,,,1,8,
S00032,2020-09.docx,2020-09-14T13:50:00,2020-09,FBA15D5XFRW8,,,,2,8,
S00033,2020-09.docx,2020-09-14T13:53:00,2020-09,FBA15D5XJ410,,,,2,3,
S00034,2020-09.docx,2020-09-14T13:58:00,2020-09,FBA15D5XG6X3,,,,1,8,
S00035,2020-09.docx,2020-09-14T14:02:00,2020-09,FBA15D5XMJF3,,,,1,8,
S00036,2020-09.docx,2020-09-15T10:44:00,2020-09,FBA15D5ZCWMD,,,,1,30,
S00037,2020-09.docx,2020-09-15T11:47:00,2020-09,FBA15D5ZNDVC,,,,1,23,
S00038,2020-09.docx,2020-09-15T12:37:00,2020-09,FBA15D5ZV2VH,,,,1,7,
S00039,2020-09.docx,2020-09-15T12:57:00,2020-09,FBA15D5ZZCX0,,,,1,100,
S00040,2020-09.docx,2020-09-15T13:33:00,2020-09,FBA15D6038XM,,,,1,13,
S00041,2020-09.docx,2020-09-15T13:57:00,2020-09,FBA15D6035MP,,,,1,9,
S00042,2020-09.docx,2020-09-15T14:30:00,2020-09,FBA15D6072GH,,,,1,15,
S00043,2020-09.docx,2020-09-16T09:58:00,2020-09,FBA15D61RYZH,,,,2,6,
S00044,2020-09.docx,2020-09-18T09:18:00,2020-09,FBA15D67LTGS,,,,1,8,
S00045,2020-09.docx,2020-09-18T10:34:00,2020-09,FBA15D67YJL8,,,,1,8,
S00046,2020-09.docx,2020-09-18T11:53:00,2020-09,FBA15D686T9B,,,,4,120,
S00047,2020-09.docx,2020-09-18T13:41:00,2020-09,FBA15D68FWKR,,,,1,8,
S00048,2020-09.docx,2020-09-21T12:37:00,2020-09,FBA15D6D0DQ2,,,,1,3,
S00049,2020-09.docx,2020-09-21T13:00:00,2020-09,FBA15D6D68J6,,,,1,3,
S00050,2020-09.docx,2020-09-21T14:02:00,2020-09,FBA15D6DGW9J,,,,1,2,
S00051,2020-09.docx,2020-09-21T14:10:00,2020-09,FBA15D6DDR92,,,,1,2,
S00052,2020-09.docx,2020-09-22T08:08:00,2020-09,FBA15D6FLSFZ,,,,1,7,
S00053,2020-09.docx,2020-09-22T08:35:00,2020-09,FBA15D6FRMFN,,,,1,8,
S00054,2020-09.docx,2020-09-22T09:36:00,2020-09,FBA15D6FXVN1,,,,1,8,
S00055,2020-09.docx,2020-09-22T10:20:00,2020-09,FBA15D6G2WGC,,,,1,8,
S00056,2020-09.docx,2020-09-22T10:30:00,2020-09,FBA15D6G90P4,,,,1,8,
S00057,2020-09.docx,2020-09-22T11:53:00,2020-09,FBA15D6GH7XG,,,,1,8,
S00058,2020-09.docx,2020-09-22T12:32:00,2020-09,FBA15D6GMV36,,,,1,5,
S00059,2020-09.docx,2020-09-22T13:02:00,2020-09,FBA15D6GT5SB,,,,1,8,
S00060,2020-09.docx,2020-09-22T13:52:00,2020-09,FBA15D6H2VVM,,,,1,8,
S00061,2020-09.docx,2020-09-22T14:06:00,2020-09,FBA15D6GZ7D5,,,,1,5,
S00062,2020-09.docx,2020-09-22T15:00:00,2020-09,FBA15D6H6LM0,,,,2,5,
S00063,2020-09.docx,2020-09-22T15:29:00,2020-09,FBA15D6H8KQ6,,,,1,7,
S00064,2020-09.docx,2020-09-23T11:53:00,2020-09,FBA15D6K33RQ,,,,3,72,
S00065,2020-09.docx,2020-09-23T12:15:00,2020-09,FBA15D6K7860,,,,1,5,
S00066,2020-09.docx,2020-09-23T13:56:00,2020-09,FBA15D6KR03T,,,,4,154,
S00067,2020-09.docx,2020-09-23T14:31:00,2020-09,FBA15D6KPGNV,,,,1,3,
S00068,2020-09.docx,2020-09-23T15:02:00,2020-09,FBA15D6KSZKZ,,,,1,50,
S00069,2020-09.docx,2020-09-23T15:11:00,2020-09,FBA15D6KTKYN,,,,2,43,
S00070,2020-09.docx,2020-09-24T09:54:00,2020-09,FBA15D6M7S3H,,,,1,11,
S00071,2020-09.docx,2020-09-24T09:54:00,2020-09,FBA15D6M5MZ5,,,,1,11,
S00072,2020-09.docx,2020-09-24T10:14:00,2020-09,FBA15D6MFF3N,,,,2,36,
S00073,2020-09.docx,2020-09-24T12:57:00,2020-09,FBA15D6N1PM7,,,,2,16,
