name,sku,brand,confidence,source
0WERHE Profi Bohrer für Erdbohrer 100 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze,1WG100d,WERHE,0.85,agent
WERHE Profesjonalne wiertło do wiertła do ziemi 100 mm Wiertarka kolumnowa,1WG100d,WERHE,0.80,review
WERHE Profi Bohrer für Erdbohrer 100 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze,1WG100d,WERHE,0.85,agent
WERHE Profi Bohrer für Erdbohrer 100 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze Hartmetall eco Farbe,1WG100d,WERHE,0.75,agent
WERHE Profi wiertło do wierteł gruntowych 100 mm wiertło runo dobrze wiertło precyzyjne wiertło podwójna helix węglik wolframu eco kolor,1WG100d,WERHE,0.80,review
"WERHE świder ziemny 100 mm, 80 cm, do wiertarki, z ostrzy z węglika",1WG100d,WERHE,0.80,agent
"WERHE® Profi Bohrer VollStahl, Erdbohrer für bohrmaschine 100 mm extrem robust - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1WG100d,WERHE,0.70,agent
Świder do gleby 100D,1WG100d,,1.00,apilo
WERHE Profi Bohrer für Erdbohrer 100 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze Doppelspiral Hartmetall eco Farbe,1WG100h,WERHE,0.60,agent
"WERHE świder ziemny z podwójną spiralą Ø 100 mm, 80 cm, zielony",1WG100h,WERHE,0.60,agent
"WERHE świder ziemny Ø 100 mm, podwójna spirala, świder do słupków",1WG100h,WERHE,0.60,agent
"WERHE świder ziemny Ø 100 mm, wiertło z podwójną spiralą z grotu z węglika",1WG100h,WERHE,0.60,agent
WERHE Profi Bohrer für Erdbohrer 120 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze,1WG120d,WERHE,0.85,agent
WERHE profesjonalne wiertło do ziemi 120 mm wiertło do pali wiertło do studni precyzyjne wiertło punktowe,1WG120d,WERHE,0.80,agent
"WERHE profesjonalne wiertło do ziemi 120 mm, precyzyjne wiertło punktowe",1WG120d,WERHE,0.80,agent
"WERHE świder ziemny 120 mm, ostrza z węglika, stal hartowana, uchwyt 20 mm",1WG120d,WERHE,0.80,agent
"WERHE świder ziemny ⌀120 mm, 80 cm długości – do precyzyjnego kopania pod słupki ogrodzeniowe, sadzenie drzew, fundamenty i przepusty – solidny z ostrzami z węglika spiekanego",1WG120d,WERHE,0.80,agent
"WERHE® Profi Bohrer VollStahl, Erdbohrer für bohrmaschine 120 mm extrem robust - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1WG120d,WERHE,0.70,agent
Świder do gleby 120D,1WG120d,,1.00,apilo
WERHE Profesjonalne wiertarki ślimakowe 120 mm Wiertarka z podwójnym wałem Wiertarka do wiertarek o wysokiej jakości stali,1WG120h,WERHE,0.60,agent
WERHE Profi Bohrer für Erdbohrer 120 mm Doppel-Welle Pfahlbohrer Brunnenbohrer robuste Bohrspitze Bohraufsatz aus hochwertigem Stahl,1WG120h,WERHE,0.60,agent
"WERHE świder ziemny Ø 120 mm, podwójna spirala",1WG120h,WERHE,0.60,agent
"WERHE® Profi Bohrer VollStahl, Erdbohrer für bohrmaschine 120 mm Doppel-Welle extrem robust - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1WG120h,WERHE,0.60,agent
"Profesjonalna wiertarka WERHE®, świder do wiertarki Wytrzymała 150 mm - wiertło do pali wiertło precyzyjne wiertło precyzyjne - wiertło do świdra do ziemi",1WG150d,WERHE,0.75,agent
"Profesjonalna wiertarka WERHE®, świder do wiertarki Wytrzymała 150 mm, wiertło do świdra do ziemi.",1WG150d,WERHE,0.75,agent
WERHE Profi Bohrer für Erdbohrer 150 mm Pfahlbohrer Brunnenbohrer robuste Bohrspitze,1WG150d,WERHE,0.80,agent
WERHE Profi Bohrer für Erdbohrer 150 mm VollStahl Pfahlbohrer Brunnenbohrer robuste Bohrspitze,1WG150d,WERHE,0.70,agent
WERHE profesjonalne wiertło do ślimaka 150 mm pełna stal runo wiertło do wiertła wiertła wytrzymałe,1WG150d,WERHE,0.75,agent
"WERHE świder ziemny Ø 150 mm, długość 80 cm, uchwyt 20 mm, ostrza z węglika",1WG150d,WERHE,0.80,agent
"WERHE® Profi Bohrer VollStahl, Erdbohrer für bohrmaschine 150 mm extrem robust - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1WG150d,WERHE,0.70,agent
"WERHE® Profi Bohrer, Erdbohrer für bohrmaschine 150 mm robust - Pfahlbohrer Brunnenbohrer präzise Bohrspitze - Bohrer für Erdbohrer",1WG150d,WERHE,0.80,agent
Świder Do gleby 150D,1WG150d,,1.00,apilo
WERHE świder ziemny 150 mm z podwójną spiralą,1WG150h,WERHE,0.65,agent
"WERHE® Profi Bohrer VollStahl, Erdbohrer für bohrmaschine 150 mm Doppel-Welle extrem robust - Pfahlbohrer Brunnenbohrer präzise Bohrspitze.",1WG150h,WERHE,0.60,agent
Świder do gleby 150H,1WG150h,,1.00,apilo
WERHE Profi Bohrer für Erdbohrer 180 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze,1WG180d,WERHE,0.70,agent
WERHE Profi Bohrer für Erdbohrer 180 mm Pfahlbohrer Brunnenbohrer präzise Bohrspitze – 5\,1WG180d,WERHE,0.65,agent
WERHE Wiertło Profi do wiertarki ziemnej 180 mm wiertło runo precyzyjne wiertło,1WG180d,WERHE,0.80,review
"WERHE Erdbohrer für bohrmaschine ⌀ 200 mm, 80cm länge – Brunnenbohrer, Baumpflanzung, erdlochbohrer, Pfahlbohrer, Durchlässenbohrer – Grabungswerkzeug mit präzise Bohrspitze und Hartmetallklingen",1WG200d,WERHE,0.80,agent
