name,lines,units,lines_WRO5,lines_XPO1,first_month,last_month,family,shank,L_est,fkey,skus,fc_dominant,purity,fc_last
Adapter gwintowy WERHE® 1/2-20UNF i gwint zewnętrzny M14 - do mieszadeł i uchwytów wiertarskich,24,2010.0,24,0,2024-06,2026-06,adapter,m14,150.0,adapter|m14|unf_1_2,,WRO5,1.0,WRO5
"WERHE® 20,2x28x100 Professional Peg Driver Jack Hammer Picket Driver Post Driver SDS Plus",23,1948.0,23,0,2024-06,2026-05,driver_pile,sds_plus,28.0,driver_pile|d20.2|l28|sds_plus,,WRO5,1.0,WRO5
"WERHE® Profesjonalny gwoździowkrętak SDS Max Ø20,2mm 165x30mm do wbijania głębokich uziomów Uziom prętowy Uziom prętowy Uziom prętowy - Młot udarowo-obrotowy Młot udarowo-obrotowy Gwoździowkrętak",35,1721.0,35,0,2024-09,2026-05,driver_rod,sds_max,165.0,driver_rod|d20.2|l165|sds_max,,WRO5,1.0,WRO5
WERHE Wiertło do ziemi 80 mm z SDS Plus rejestrujące precyzyjne wiertło wiertło do runa,38,1689.0,0,38,2024-06,2025-11,auger,sds_plus,800.0,auger|d80|sds_plus,,XPO1,1.0,XPO1
"WERHE ® Profesjonalne - 5 x brzeszczoty do wyrzynarki do drewna - C 180 mm T744D bardzo długie - szybkie cięcie grubych warstw - kompatybilne z wyrzynarkami Bosch, Metabo, Milwaukee, Makita",15,1636.0,15,0,2024-10,2025-10,blade_jigsaw,,180.0,blade_jigsaw|T744D|l180|n5,,WRO5,1.0,WRO5
"WERHE ® 13,5x34x223 Profesjonalny wbijak do gwoździ, młot udarowy, wbijak do słupków SDS Plus",19,1520.0,19,0,2024-06,2026-02,driver_rod,sds_plus,34.0,driver_rod|d13.5|l34|sds_plus,,WRO5,1.0,WRO5
"Werkon Profesjonalny adapter do wiertnic ziemnych pasujący do wiertarki SDS Plus wiertarki akumulatorowej, wkrętarki akumulatorowej, wiertarki palowej",16,1468.0,16,0,2024-06,2025-10,adapter,sds_plus,150.0,adapter|sds_plus,,WRO5,1.0,WRO5
WERHE Wiertło uziemiające 60 mm z precyzyjnym wiertłem do nagrywania SDS Plus,31,1169.0,0,31,2024-06,2025-10,other,sds_plus,800.0,other|sds_plus,,XPO1,1.0,XPO1
"WERHE 1 szt. Przedłużacz ślimaka ziemnego - stal 40 cm, spiralny flet, odpowiedni do uniwersalnych prowadnic wiertarskich, 0,5 kg, model 81334",34,1138.0,34,0,2024-09,2026-05,extension,,400.0,extension|l400,,WRO5,1.0,WRO5
"WERHE® Adapter M14 do wiertarki ziemnej, M14 ADAPTER, wiertarka ziemna, ślimak, mieszadło do betonu",17,1135.0,17,0,2024-07,2025-11,adapter,m14,150.0,adapter|m14,,WRO5,1.0,WRO5
WERHE ® Profi SDS HEX Spatmeißel 75 x 410 mm Sechskant-Aufnahme 30 mm für Abbruchhammer Flach Spat Meißel Meissel,35,1102.0,29,6,2024-06,2026-01,chisel_spade,hex30,410.0,chisel_spade|d75|l410|hex30,,WRO5,0.829,WRO5
"WERHE ® Adapter SDS Max do złącza uchwytu SDS Max - wytrzymały i stabilny, wykonany ze stali - odpowiedni do przedłużaczy wiertarskich, młotów obrotowych i narzędzi z uchwytem SDS Max",32,1085.0,32,0,2024-06,2025-12,adapter,sds_max,150.0,adapter|sds_max,,WRO5,1.0,WRO5
WERHE Wiertło do ziemi 80 mm z precyzyjnym wiertłem SDS Plus,13,882.0,0,13,2026-02,2026-04,auger,sds_plus,800.0,auger|d80|sds_plus,,XPO1,1.0,XPO1
"WERHE ® 16,5x34x223 Profesjonalny wbijak do gwoździ gruntowych Młot udarowy SDS Plus",18,860.0,18,0,2024-07,2026-01,driver_rod,sds_plus,34.0,driver_rod|d16.5|l34|sds_plus,,WRO5,1.0,WRO5
WERHE Profesjonalny słupek przedłużający 1000 mm wytrzymały,33,839.0,0,33,2024-06,2026-03,other,,1000.0,other,,XPO1,1.0,XPO1
